seq_id,time_part_sec,time_part_nsec
0,1707241209,491652425
1,1707241209,491751269
2,1707241209,491831586
3,1707241209,491910834
4,1707241209,491990011
5,1707241209,492068959
6,1707241209,492147932
7,1707241209,492227417
8,1707241209,492306709
9,1707241209,492400299
10,1707241209,492488686
11,1707241209,492576817
12,1707241209,492665211
13,1707241209,492752248
14,1707241209,492839317
15,1707241209,492926258
16,1707241209,493014118
17,1707241209,493101328
18,1707241209,493188319
19,1707241209,493251479
20,1707241209,493339296
21,1707241209,493426160
22,1707241209,493513267
23,1707241209,493599932
24,1707241209,493687334
25,1707241209,493779874
26,1707241209,493858674
27,1707241209,493938306
28,1707241209,494017925
29,1707241209,494097154
30,1707241209,494177887
31,1707241209,494257001
32,1707241209,494335521
33,1707241209,494414244
34,1707241209,494492942
35,1707241209,494575228
36,1707241209,494654450
37,1707241209,494733340
38,1707241209,494851979
39,1707241209,494931317
40,1707241209,495010802
41,1707241209,495102280
42,1707241209,495181470
43,1707241209,495260168
44,1707241209,495339512
45,1707241209,495419061
46,1707241209,495498021
47,1707241209,495598286
48,1707241209,495685476
49,1707241209,495772775
50,1707241209,495860547
51,1707241209,495947802
52,1707241209,496034153
53,1707241209,496120704
54,1707241209,496207554
55,1707241209,496304216
56,1707241209,496402646
57,1707241209,496481107
58,1707241209,496573359
59,1707241209,496661679
60,1707241209,496749580
61,1707241209,496837359
62,1707241209,496924542
63,1707241209,497011221
64,1707241209,497098494
65,1707241209,497185799
66,1707241209,497272676
67,1707241209,497360602
68,1707241209,497447376
69,1707241209,497534196
70,1707241209,497621501
71,1707241209,497689569
72,1707241209,497776944
73,1707241209,497864525
74,1707241209,497951260
75,1707241209,498038169
76,1707241209,498124803
77,1707241209,498211570
78,1707241209,498302588
79,1707241209,498381324
80,1707241209,498459940
81,1707241209,498538810
82,1707241209,498617751
83,1707241209,498697415
84,1707241209,498775786
85,1707241209,498854254
86,1707241209,498932638
87,1707241209,499011246
88,1707241209,499089713
89,1707241209,499168654
90,1707241209,499251665
91,1707241209,499331323
92,1707241209,499410808
93,1707241209,499490209
94,1707241209,499569298
95,1707241209,499647822
96,1707241209,499727077
97,1707241209,499805454
98,1707241209,499884120
99,1707241209,499962601
100,1707241209,500042213
101,1707241209,500121161
102,1707241209,500199455
103,1707241209,500278505
104,1707241209,500357625
105,1707241209,500437142
106,1707241209,500515923
107,1707241209,500595068
108,1707241209,500673324
109,1707241209,500752387
110,1707241209,500832147
111,1707241209,500911434
112,1707241209,500991386
113,1707241209,501070424
114,1707241209,501149307
115,1707241209,501228805
116,1707241209,501308488
117,1707241209,501387837
118,1707241209,501466817
119,1707241209,501545194
120,1707241209,501623975
121,1707241209,501702762
122,1707241209,501781319
123,1707241209,501860523
124,1707241209,501939918
125,1707241209,502018961
126,1707241209,502097121
127,1707241209,502188580
128,1707241209,502268545
129,1707241209,502347607
130,1707241209,502426581
131,1707241209,502505182
132,1707241209,502583816
133,1707241209,502662163
134,1707241209,502740547
135,1707241209,502819136
136,1707241209,502908507
137,1707241209,502987499
138,1707241209,503066370
139,1707241209,503185277
140,1707241209,503265248
141,1707241209,503344516
142,1707241209,503435616
143,1707241209,503514096
144,1707241209,503593274
145,1707241209,503677348
146,1707241209,503764928
147,1707241209,503852432
148,1707241209,503939859
149,1707241209,504026985
150,1707241209,504114796
151,1707241209,504202383
152,1707241209,504289964
153,1707241209,504376910
154,1707241209,504464094
155,1707241209,504550811
156,1707241209,504638475
157,1707241209,504735963
158,1707241209,504823173
159,1707241209,504909927
160,1707241209,504997832
161,1707241209,505084945
162,1707241209,505171604
163,1707241209,505260752
164,1707241209,505349261
165,1707241209,505436381
166,1707241209,505522899
167,1707241209,505609622
168,1707241209,505696255
169,1707241209,505783260
170,1707241209,505871141
171,1707241209,505958568
172,1707241209,506045528
173,1707241209,506132539
174,1707241209,506220222
175,1707241209,506308148
176,1707241209,506395594
177,1707241209,506481415
178,1707241209,506578787
179,1707241209,506666054
180,1707241209,506753980
181,1707241209,506841485
182,1707241209,506928420
183,1707241209,507013082
184,1707241209,507099907
185,1707241209,507186624
186,1707241209,507273597
187,1707241209,507361362
188,1707241209,507446108
189,1707241209,507533708
190,1707241209,507617301
191,1707241209,507695941
192,1707241209,507775305
193,1707241209,507854540
194,1707241209,507933058
195,1707241209,508011942
196,1707241209,508091088
197,1707241209,508169843
198,1707241209,508248086
